"Date","Year","Month","Time","Class","AngThong","Buriram","Chachoengsao","ChaiNat","Chaiyaphum","Chanthaburi","ChiangMai","ChiangRai","ChonBuri","Chumphon","Kalasin","KamphaengPhet","Kanchanaburi","KhonKaen","Krabi","KrungThep","Lampang","Lamphun","Loei","LopBuri","MaeHongSon","MahaSarakham","NakhonNayok","NakhonPathom","NakhonPhanom","NakhonRatchasima","NakhonSawan","NakhonSiThammarat","Nan","Narathiwat","NongKhai","Nonthaburi","PathumThani","Pattani","Phangnga","Phatthalung","Phayao","Phetchabun","Phetchaburi","Phichit","Phitsanulok","Phrae","PhraNakhonSiAyutthaya","Phuket","PrachinBuri","PrachuapKhiriKhan","Ranong","Ratchaburi","Rayong","RoiEt","SakonNakhon","SamutPrakan","SamutSakhon","SamutSongkhram","Saraburi","Satun","SingBuri","Sisaket","Songkhla","Sukhothai","SuphanBuri","SuratThani","Surin","Tak","Trang","Trat","UbonRatchathani","UdonThani","UthaiThani","Uttaradit","Yala","Yasothon"
1968-01-01,1968,1,1968,"DHF",-2.03689035054858,-2.00787097846684,-1.84872065141731,-1.91860911349488,-1.8501135605159,-1.9258117631945,-1.30073459943063,-1.13353673400541,-2.29806469268252,-1.33815228942706,-1.62716257633514,-1.83688857655579,-1.97709963360523,-2.31107621752403,-1.61903305549787,-1.42280031499977,-1.34227328764632,-0.950957851902794,-1.17935125897945,-2.42776623233946,-0.802060356606026,-1.82987548913382,-1.32469745655035,-2.48405012629705,-1.4379686824577,-2.39229863085014,-1.41641509361031,-1.13010312295227,-1.02752533110666,-1.18295804204566,-1.26313736963148,-1.32060896014059,-2.06246948100474,-1.19491040044899,-1.28215204775235,-1.36635110157444,-0.91634811537064,-1.62179375178636,-1.74845276260414,-1.68016994997229,-1.85810533891107,-0.831436959430965,-2.6042438701028,-1.41963076926655,-1.85979522783772,-2.01254260556732,-1.03888173463177,-2.32727568956365,-2.14550330509512,-1.804399642667,-1.16963501549981,-1.74176748750585,-1.06857957873697,-1.67680365501553,-2.08976637794499,-0.951306980092151,-0.579488065649689,-1.6615903213041,-2.02802928791257,-1.72651611180468,-2.67673443127908,-1.62854967085909,-1.49572134177415,-1.47734331259795,-1.27138671970912,-1.51506821945538,-1.79990844878931,-1.75068196097881,-1.62285350637471,-1.50732911562834,-1.41293811037503,-1.39258133473184
1968-02-01,1968,2,1968.08333333333,"DHF",-0.813374290826092,-2.00787097846684,-1.38477979075111,-1.91860911349488,-1.8501135605159,-1.9258117631945,-1.30073459943063,-1.13353673400541,-1.833086864917,-1.33815228942706,-1.62716257633514,-1.83688857655579,-1.97709963360523,-2.31107621752403,-1.61903305549787,-5.28028846262878,-1.34227328764632,-0.950957851902794,-1.17935125897945,-2.42776623233946,-0.802060356606026,-1.82987548913382,-1.32469745655035,-2.48405012629705,-1.4379686824577,-2.39229863085014,-1.6115245962194,-1.13010312295227,-1.02752533110666,-1.18295804204566,-1.26313736963148,-2.61484499388567,-2.06246948100474,-1.19491040044899,-1.28215204775235,-1.36635110157444,-0.91634811537064,-1.62179375178636,-1.74845276260414,-1.68016994997229,-1.85810533891107,-0.831436959430965,-2.6042438701028,-1.41963076926655,-1.85979522783772,-0.956121556397597,-1.03888173463177,-1.85261603208701,-2.14550330509512,-1.804399642667,-0.781957853863035,-1.74176748750585,-1.87915473595017,-1.67680365501553,-2.08976637794499,-0.951306980092151,-1.46389719091258,-1.6615903213041,-2.02802928791257,-1.72651611180468,-2.08971910718809,-1.62854967085909,-1.49572134177415,-1.47734331259795,-1.27138671970912,-1.51506821945538,-1.79990844878931,-1.75068196097881,-1.62285350637471,-1.50732911562834,-1.41293811037503,-1.39258133473184
1968-03-01,1968,3,1968.16666666667,"DHF",-2.03689035054858,-2.00787097846684,-1.84872065141731,-1.3288091819547,-1.42880087982639,-1.9258117631945,-1.30073459943063,-1.13353673400541,-1.5610922720074,-1.33815228942706,-1.62716257633514,-1.83688857655579,-1.97709963360523,-2.31107621752403,-1.61903305549787,-2.15805971223761,-1.34227328764632,-0.950957851902794,-1.17935125897945,-1.89910974558332,-0.802060356606026,-1.82987548913382,-1.32469745655035,-2.13441921971661,-1.4379686824577,-1.72132353922444,-2.35661689681174,-1.24835651035051,-1.02752533110666,-1.18295804204566,-1.26313736963148,-2.61484499388567,-2.06246948100474,-1.19491040044899,-1.28215204775235,-1.36635110157444,-0.91634811537064,-1.62179375178636,-1.74845276260414,-1.68016994997229,-1.85810533891107,-0.258803932945173,-1.11305546933218,-1.41963076926655,-1.85979522783772,-2.01254260556732,-1.03888173463177,-2.32727568956365,-2.14550330509512,-1.41226595300048,-1.16963501549981,-2.89087822793868,-1.87915473595017,-1.67680365501553,-2.08976637794499,-0.951306980092151,-0.021488034191223,-1.6615903213041,-2.02802928791257,-1.72651611180468,-2.08971910718809,-1.62854967085909,-1.49572134177415,-1.47734331259795,-1.27138671970912,-1.51506821945538,-1.55141940346363,-1.38173868251841,-1.62285350637471,-1.50732911562834,-1.41293811037503,-1.39258133473184
1968-04-01,1968,4,1968.25,"DHF",-1.42513232068733,-1.61002171385851,-1.84872065141731,-0.983798339075794,-1.8501135605159,-1.13923525789441,-1.30073459943063,-1.13353673400541,-1.5610922720074,-1.33815228942706,-1.62716257633514,-1.83688857655579,-1.97709963360523,-2.31107621752403,-1.61903305549787,-2.56522460384698,-1.34227328764632,-0.950957851902794,-1.17935125897945,-1.58986552506799,-0.802060356606026,-1.82987548913382,-1.32469745655035,-1.69393637083438,-1.4379686824577,-1.54562233242616,-0.324874602751725,-2.29223463589529,-1.02752533110666,-1.18295804204566,-1.26313736963148,-2.61484499388567,-2.06246948100474,-1.19491040044899,-1.28215204775235,-1.36635110157444,-0.91634811537064,-1.62179375178636,-1.74845276260414,-1.68016994997229,-1.85810533891107,-0.831436959430965,-2.0273734511491,-0.927428341935675,-1.85979522783772,0.579328650019579,-0.446604174379168,-1.85261603208701,-2.14550330509512,-1.804399642667,-1.16963501549981,-2.31632285772227,-1.87915473595017,-1.67680365501553,-2.08976637794499,-0.951306980092151,-0.347897127995651,-1.6615903213041,-2.02802928791257,-1.72651611180468,-2.67673443127908,-1.62854967085909,-1.49572134177415,-1.47734331259795,-1.27138671970912,-1.51506821945538,-2.22470327755071,-1.75068196097881,-1.09480594105166,-1.50732911562834,-1.41293811037503,-1.39258133473184
1968-05-01,1968,5,1968.33333333333,"DHF",0.226883361041707,-0.317836141133817,-1.38477979075111,0.263909978933285,-1.8501135605159,-0.146686216586248,-1.30073459943063,-0.754323792643552,-0.753441783128556,-1.33815228942706,-1.62716257633514,-1.83688857655579,-1.97709963360523,-2.31107621752403,-1.61903305549787,-1.49381786730104,-1.34227328764632,-0.950957851902794,-1.17935125897945,-0.75196481779652,-0.802060356606026,-1.82987548913382,-0.796284173336275,-1.40379773553252,-1.05690693205553,-0.357161895541113,-0.730334973864321,-2.29223463589529,-1.02752533110666,-1.18295804204566,-1.26313736963148,-2.05744787353778,-2.06246948100474,-1.19491040044899,-1.28215204775235,-1.36635110157444,-0.91634811537064,-1.62179375178636,-1.74845276260414,-1.68016994997229,-1.85810533891107,-0.578042808520514,-1.4505030321954,-1.41963076926655,-1.40612267916919,1.55546006546217,-1.03888173463177,-0.472832337653414,-1.37637478150481,-1.804399642667,0.750993748302376,-1.74176748750585,-1.87915473595017,-0.478753411568212,-0.511159415717354,-0.951306980092151,0.466465761115441,-1.25961190192748,-2.02802928791257,-1.24348188690392,-2.08971910718809,-1.62854967085909,-1.49572134177415,-1.47734331259795,-1.27138671970912,-1.51506821945538,-2.22470327755071,-1.75068196097881,0.942391530488064,-1.50732911562834,-1.41293811037503,-1.39258133473184
1968-06-01,1968,6,1968.41666666667,"DHF",0.838641390902948,-0.416473920033519,-0.456898069418711,-0.262831372656328,-1.18234876054471,0.0592863194218294,-0.940479344946886,-0.253031551512432,-0.992706899257346,-0.254457707305114,-1.62716257633514,-1.37475165092452,-1.97709963360523,-1.08074829283306,-1.61903305549787,-0.428811663447424,-1.34227328764632,-0.950957851902794,-1.17935125897945,0.346584689668505,-0.802060356606026,-1.13494338041193,-1.32469745655035,-1.09623838822966,-1.4379686824577,0.175708339993125,-0.29178451624691,-0.680529284794543,-1.02752533110666,-1.18295804204566,-1.26313736963148,-2.05744787353778,-2.06246948100474,-1.19491040044899,-1.28215204775235,-1.36635110157444,-0.91634811537064,-1.62179375178636,-1.74845276260414,-1.23003783639351,-1.16738138990903,0.338339955533032,-0.873632613241697,-1.41963076926655,-1.40612267916919,2.41581823672476,-1.03888173463177,0.232239851337822,-2.14550330509512,-1.02013226333396,-1.16963501549981,-0.222725715590867,-1.3677387517585,0.00487246889153794,-0.421744485606228,-0.951306980092151,0.210102903462815,-1.6615903213041,-2.02802928791257,-0.96092497877206,-0.645995058494074,-1.62854967085909,-1.49572134177415,-1.05784645718905,-1.27138671970912,-1.51506821945538,-2.22470327755071,-1.38173868251841,0.535521295295977,-1.04979521401241,-1.41293811037503,-1.39258133473184
1968-07-01,1968,7,1968.5,"DHF",0.0794447209086634,-0.348869383171126,-0.649450924042885,0.711563349885495,-1.8501135605159,0.349588304067835,-1.30073459943063,0.0685398496880317,-0.359142023566759,0.829236874816833,-1.62716257633514,-1.83688857655579,-0.869368086154886,0.199194368602118,-1.61903305549787,-0.303886139929007,-1.34227328764632,-0.950957851902794,-1.17935125897945,0.82333747429657,-0.802060356606026,-1.13494338041193,-0.796284173336275,-0.0159859974651341,0.431859636936842,0.426376295320039,-0.0276447445919279,-0.154561611539435,-1.02752533110666,-1.18295804204566,-1.26313736963148,-1.17399433977641,-1.53168636275883,-1.19491040044899,-1.28215204775235,-1.36635110157444,-0.91634811537064,-1.62179375178636,-0.613762675936975,-0.516595316000796,-0.846213043497361,1.23975321654162,-0.536185050378479,-1.41963076926655,-0.952450130500662,2.75170014459935,-1.03888173463177,0.610784315394819,-1.01875038400644,0.100578369282217,-1.16963501549981,-0.592656747073016,-1.87915473595017,1.6129543145018,0.322851530452028,-0.951306980092151,0.716147884341755,-1.6615903213041,-2.02802928791257,-0.96092497877206,-1.15932183115518,-1.62854967085909,-1.49572134177415,-1.05784645718905,-1.27138671970912,-0.215184974766747,-2.22470327755071,-1.75068196097881,-0.78591791674057,-1.50732911562834,-1.41293811037503,-1.39258133473184
1968-08-01,1968,8,1968.58333333333,"DHF",-0.616432193740817,-0.493117622623316,-1.84872065141731,0.820336949316675,-1.18234876054471,-0.208983994919699,-1.30073459943063,-0.754323792643552,0.0474667273299138,-0.404708584164933,-1.62716257633514,0.192963493603871,-0.743881207362852,-0.41698410189333,-1.61903305549787,-0.272463704668588,-1.34227328764632,-0.950957851902794,-1.17935125897945,0.834004642471898,-0.802060356606026,-1.13494338041193,0.260542393091868,1.31584588116774,0.86531872078563,0.19367280709852,-0.946314192009591,-0.154561611539435,-1.02752533110666,-1.18295804204566,-1.26313736963148,-1.50005075318989,-1.22119814256913,-0.375122814642812,-1.28215204775235,-1.36635110157444,-0.91634811537064,-0.820670190162729,-0.376542147960596,-1.68016994997229,-1.85810533891107,1.16756379908959,-0.35047425540784,-1.41963076926655,-0.952450130500662,1.7586435595838,-1.03888173463177,-0.570826240437854,-2.14550330509512,-0.201567757352699,-1.16963501549981,-0.407691231331942,-1.3677387517585,1.53250458669165,0.938468781305699,-0.951306980092151,1.15894831967877,-1.6615903213041,-1.38525345425595,-0.277413437102391,-1.31372705814279,-1.62854967085909,-1.12874454612472,-1.47734331259795,-1.27138671970912,-1.51506821945538,-2.22470327755071,-1.75068196097881,-1.62285350637471,-1.50732911562834,-1.41293811037503,-1.39258133473184
1968-09-01,1968,9,1968.66666666667,"DHF",0.0794447209086634,-1.37729481312315,-1.38477979075111,-0.739009250414527,-1.42880087982639,-1.9258117631945,-1.30073459943063,-1.13353673400541,-0.322872584976154,-1.33815228942706,-1.62716257633514,-0.642281953600384,-0.743881207362852,-0.519738885997347,-1.61903305549787,0.253455134503278,-1.34227328764632,-0.950957851902794,-1.17935125897945,0.585808202018164,-0.802060356606026,-1.13494338041193,-0.267870890122203,1.33662510146678,0.86531872078563,-0.1095249531274,-1.88651599521102,-2.29223463589529,-1.02752533110666,-1.18295804204566,-1.26313736963148,-1.32060896014059,-0.572372881452,-0.785016607545902,-1.28215204775235,-1.36635110157444,-0.91634811537064,-1.62179375178636,-1.74845276260414,-1.68016994997229,-1.85810533891107,0.174376229198657,0.506424540706923,-1.41963076926655,-0.498777581832134,0.937493366725382,-1.03888173463177,-1.10029827438139,-1.6602372352415,-0.0305586024032543,-1.16963501549981,-0.495025424960303,-1.87915473595017,0.954304823813461,-0.0863273820677253,-0.951306980092151,0.947738821995793,-1.6615903213041,-1.21693649125126,-0.604945374215457,-1.15932183115518,-1.62854967085909,-1.49572134177415,-1.47734331259795,-1.27138671970912,-1.51506821945538,-1.55141940346363,-1.75068196097881,-1.62285350637471,-1.50732911562834,1.00311001143166,-1.39258133473184
1968-10-01,1968,10,1968.75,"DHF",-0.0976632768583332,-0.746718647779456,-1.38477979075111,-0.149209318874351,-1.8501135605159,-1.9258117631945,-1.30073459943063,-1.13353673400541,-0.903131209385972,-1.33815228942706,-1.62716257633514,-1.37475165092452,-1.02295161335477,-0.921851357565085,-1.61903305549787,-0.0443071005442453,-1.34227328764632,-0.950957851902794,-1.17935125897945,-0.266902486937791,-0.802060356606026,-1.82987548913382,-1.32469745655035,0.463041633118029,1.30555106358776,-0.627010298386738,-1.88651599521102,-0.580547470357126,-1.02752533110666,-0.532743373395533,-1.26313736963148,-2.61484499388567,-1.22119814256913,-1.19491040044899,-1.28215204775235,-1.36635110157444,-0.91634811537064,-1.62179375178636,-1.74845276260414,-1.68016994997229,-1.85810533891107,-0.398256797287135,-0.246307468413032,-1.41963076926655,-1.14074125059151,0.14649828603065,-1.03888173463177,-0.570826240437854,-2.14550330509512,-0.501759722011938,-1.16963501549981,-1.16721211728943,-1.06857957873697,1.39576572856502,-0.612529702810271,-0.951306980092151,-0.579488065649689,-1.6615903213041,-1.62248288958191,-1.72651611180468,-1.15932183115518,-1.62854967085909,-1.49572134177415,-1.47734331259795,-1.27138671970912,-1.51506821945538,-0.755154615499921,-1.38173868251841,-1.62285350637471,-1.50732911562834,1.14388476658104,-1.39258133473184
