NA,NA,NA,-4e-01+6.2e-14i,-2e-01-3.1e-14i,2e-01+1.3e-14i,0-6.96504968571543e-15i,0+3.05932132118034e-14i,-4e-01-2.71e-13i,0+1.75420635799643e-15i,0-8.58170771836054e-15i,0+1.28043671854903e-15i,0+1.44741182194844e-15i,-2e-01+2.3e-14i,0+2.86537005204364e-14i,2e-01-9e-15i,-2e-01+9e-15i,0+1.36442554754876e-14i,4e-01+2.9e-14i,-4e-01+7e-15i,4e-01-2.9e-14i,-2e-01+2.8e-14i,2e-01-2.4e-14i,-4e-01+5e-15i,2e-01-1e-15i,-2e-01-4.2e-14i,-4e-01-9e-15i,2e-01+6e-15i,0+1.17267608754699e-14i,0-1.72445383266164e-15i,0+2.13088133780038e-15i,-2e-01-8e-15i,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,-0.040084167211466-0.420208784893779i,0.306839973861035-0.308276752279313i,0.457433814667339+0.097179241107989i,0.143538801338711+0.456962723711528i,-0.350913409929481+0.541932418746749i,-0.640230504164761-0.026583856904483i,-0.299157308662282-0.571261746563477i,0.354719468643648-0.558753784058599i,0.712726812930474+0.025559679376843i,0.4153231579333+0.683991463668792i,-0.376289399096399+0.767072056564568i,-0.886260029492626+0.042262892953208i,-0.452964366051544-0.790175410349313i,0.515651042020741-0.763153183330042i,0.906106459900955+0.143014389146224i,0.232792570468439+0.874375700216069i,-0.704304428733116+0.540749579126716i,-0.741039006724399-0.449937980648838i,0.165205970425177-0.819686747142773i,0.785316254212463-0.11149574952806i,0.355915557443716+0.664099236371579i,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,0.129935746826126-0.588536557762767i,0.539050734797019-0.373127636453589i,0.609202946026376+0.230948796682665i,0.144014190834708+0.659101510555682i,-0.489328153361748+0.513648406435346i,-0.726500776060823-0.117319558238854i,-0.309488760520021-0.68817971573773i,0.427790838552207-0.647900837161504i,0.805249900364869+0.025377567874293i,0.408656223169331+0.734100279792419i,-0.450540448709546+0.747366726693137i,-0.892467781083492-0.041292680986991i,-0.375902752422089-0.814714624537501i,0.551080521955491-0.697674976101198i,0.857569039473017+0.178964764709964i,0.211520482538957+0.835761920936961i,-0.655083882594268+0.540986317241143i,-0.755298495532418-0.3678118043243i,0.059182940774327-0.829994915775486i,0.641380596270649-0.170806607463792i,0.41815131944259+0.501928688922044i,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0.627545449120623-0.307357477554399i,0.635666742106235+0.327119878582297i,0.108805540801919+0.722382628270015i,-0.540416396327847+0.517508436408044i,-0.751532350868156-0.153484794786852i,-0.301693581687696-0.725680188377289i,0.44992715743534-0.667405464309389i,0.824633497034368+0.018491931100655i,0.430454178137083+0.729725789395163i,-0.426191103742327+0.764861725776628i,-0.900681437377049-0.037847060539292i,-0.338828820515592-0.801305807742364i,0.527184671399588-0.648144384514477i,0.794259932634665+0.152177814340835i,0.233455948571833+0.746527702051651i,-0.527689391860298+0.539248919027374i,-0.692025112136346-0.202195647896931i,-0.120811388998473-0.655729497219853i,0.490355709185106-0.331648496009134i,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0.644185798704179-0.269245634776947i,0.615828093626408+0.364397089495395i,0.073941214485199+0.728310726471965i,-0.557788546019344+0.498992386639985i,-0.746215008191951-0.167326185879147i,-0.296831141337235-0.721543875119052i,0.434529941538123-0.663276380053693i,0.79998336435342-0.008240672042465i,0.443699418489337+0.662187850522066i,-0.313402898081252+0.70872706229798i,-0.721468359425787+0.061770664645471i,-0.355592878532754-0.625111822450516i,0.395401217549416-0.613612372432274i,0.709265553221083+0.06274025121689i,0.263735073984506+0.614968663931911i,-0.375360332356229+0.494862430706789i,-0.573455195146184-0.068096127047749i,-0.213526871789095-0.502398209338999i,0.408134339626083-0.25457480291952i,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0.644657015982306-0.224394006429427i,0.580941215690342+0.384046812067713i,0.046350534994715+0.708570346408105i,-0.549114806008117+0.472555970655214i,-0.722026853098596-0.16283605998896i,-0.298705292114163-0.695194814938852i,0.403902870700031-0.65620155039512i,0.774890792533141-0.036313711034144i,0.454965351121528+0.618555425815118i,-0.26257470185317+0.70045395182258i,-0.706523451912781+0.149906133706592i,-0.484426034919631-0.501213397123055i,0.166061444563505-0.652995153066525i,0.63884404995871-0.167496380226034i,0.24584070756113+0.43545347706815i,-0.225023959440389+0.375117854399372i,-0.378846748019737-0.000538709950012i,-0.153342392125507-0.28123757774332i,0.178960537266212-0.213106035204255i,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,0.531658680967849+0.396140529055118i,0.018703145552446+0.669388071772221i,-0.519485308916794+0.433694420492313i,-0.672022454742261-0.142576057728483i,-0.308045772930954-0.636818268096313i,0.353560498883219-0.659194168897662i,0.771596291030234-0.063188045384394i,0.47056533469924+0.594384409762121i,-0.207467325711122+0.696897058987702i,-0.650424861243662+0.225670786721625i,-0.527272776288461-0.364275241496596i,-0.021046838096651-0.579638084805756i,0.390570058326347-0.314463198731098i,0.368984400974733+0.058887120660925i,-0.012765080610811+0.191391700351654i,-0.175382568741111+0.0513885820519i,-0.116130562721433-0.133003180372814i,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,0.469491288459493+0.409176424226419i,-0.021405859151582+0.619784530686921i,-0.491492771842074+0.368598170519798i,-0.584406715000335-0.154847414968162i,-0.221731482662002-0.548098016411705i,0.33417884835334-0.489506585003206i,0.639801065617444-0.002359191721784i,0.411725214571199+0.519114103481602i,-0.149840948361493+0.634546215423636i,-0.561609878974126+0.258213026064871i,-0.502076685215974-0.256693578864261i,-0.103109611932245-0.480833407514596i,0.244059338319173-0.321017818438355i,0.301709384072651-0.024122078236088i,0.145906936592924+0.146012623065362i,-0.022293890369693+0.133378651408797i,-0.0881107225269465+0.0322511334983959i,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.061500558345206+0.583871408856131i,-0.483863739946404+0.324268527959881i,-0.553911146001108-0.165543652768557i,-0.221476447512368-0.531616527174723i,0.272921384416744-0.508774629181289i,0.570918846537839-0.112610007083518i,0.454325509269024+0.371205432608678i,-0.001567267967126+0.587935938218492i,-0.462757040826001+0.33751326742094i,-0.471862323279517-0.170063167432423i,-0.122749653508449-0.391872699295532i,0.146483537537505-0.243790870687205i,0.186257201719839-0.084818539958766i,0.171532750104327+0.034354336065452i,0.098552387130102+0.123347042746945i,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.08411551384163+0.552567419168378i,-0.464604176460881+0.300871003118564i,-0.527030547236313-0.144551449587152i,-0.241903292068003-0.481257766793046i,0.188705614764251-0.495044270187108i,0.480436661040286-0.195964183066632i,0.460352976744025+0.203953226005984i,0.172754170466832+0.446036286878735i,-0.167118707993019+0.396378461082328i,-0.337460567193174+0.123825101583596i,-0.281914275126717-0.149070876389405i,-0.093276536477053-0.269420116684738i,0.099295040455974-0.229466726825344i,0.206333857917682-0.089231274521695i,0.200545870726054+0.073402636944266i,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4280362988508+0.257967735163711i,-0.464927179770523-0.129890622754762i,-0.221607310573938-0.412504674588063i,0.137093327709842-0.431078414466624i,0.385513509188577-0.196067246670916i,0.389057244428517+0.124405105913411i,0.179976567745257+0.335374844989843i,-0.093704549563145+0.336854174803197i,-0.273586394757956+0.160978209785341i,-0.278229845016108-0.069743018406368i,-0.132841682033812-0.222841066091976i,0.060340502307379-0.226346258697341i,0.184402283355312-0.098748291931708i,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.246366738473095+0.175027692375465i,-0.32619260728427-0.060748623587452i,-0.183522681580503-0.302321602987454i,0.121466073650157-0.325721183316782i,0.298126680749957-0.119694431892734i,0.278230262811924+0.112804279998816i,0.121065375880938+0.256373253930244i,-0.078118949912536+0.256897285684903i,-0.218358394047187+0.131135880921966i,-0.237593728246134-0.047933568482936i,-0.13433330417737-0.188697575368913i,0.034428207064537-0.219598908185477i,0.175195626982414-0.123418984885756i,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.149214009287042+0.063992547364977i,-0.110981649059418-0.046420970024638i,0.0114750468381276-0.0920760245240524i,0.119245226132951-0.0364819832289i,0.131156396566109+0.079585062702216i,0.044006241098771+0.159924839961966i,-0.068816186387703+0.152950966781837i,-0.147093939061402+0.08246641916002i,-0.173720569169627-0.020416293318957i,-0.132454580071463-0.130212662321626i,-0.018627732175447-0.197248253873379i,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0745229328013738+0.0746237373440744i,-0.0994850509979647+0.0041504249266709i,-0.0623210358142447-0.0699431751381776i,0.0425854205898929-0.084869016641284i,0.069812543100436+0.0982575870154112i,-0.055335026409813+0.115202835032019i,-0.097087216601831+0.0366956353568852i,-0.0265099696128643+0.0741796328871121i,-0.120876680683223+0.061890367736319i,-0.154645650618727-0.047724069629517i,-0.090384913113977-0.15591728573502i,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0787081500013901+0.0900406992400927i,-0.130370738574793+0.013359775134955i,-0.0935564010570124-0.0630918402528295i,-0.0108177173454225-0.0686023446904597i,0.0487108350096846-0.0024183910369284i,0.034062781699638+0.0892911216455185i,-0.056439946445495+0.129723045919467i,-0.1508761939453+0.069345202983283i,-0.166468124824996-0.051402743799601i,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0379647426818912-0.049185717627204i,-0.0563509636808351-0.051509716782507i,-0.0432471304874192-0.0625018619004008i,-0.0195432362688688-0.0651724077860366i,-0.0047308478039203-0.0563193134475887i,-0.0230982406738397-0.0469945166819162i,-0.087299803187093-0.0427858230728985i,-0.101359213131365-0.074205228398774i,-0.057637898994115-0.120776151576457i,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0532651217563119+0.0115749896977892i,0.0233508451547601+0.0415626937555024i,-0.0180218357840192+0.0472046364320674i,-0.055161503459731+0.0262936872405504i,-0.0734705536790927-0.0148295864393106i,-0.0634411718649236-0.0625101744725239i,-0.0244253560756218-0.0989768062844531i,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.019332250699661+0.107300580674768i,-0.0602140632644862+0.0881859701612954i,-0.106791797592589+0.024981742594975i,-0.104139323871155-0.051122046441546i,-0.057458359475336-0.10981107208988i,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.156068421107787+0.039602014619034i,-0.148059866542667-0.066630568593772i,-0.087435461200425-0.141070806202248i,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.091364575575292-0.142029267939278i,-0.048641286691539-0.175288853523665i,0.018263209369884-0.189589292307668i,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.030144816371016-0.17588942688092i,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
