NA,NA,NA,-4e-01+6.2e-14i,-2e-01-3.1e-14i,2e-01+1.3e-14i,0-6.96504968571543e-15i,0+3.05932132118034e-14i,-4e-01-2.71e-13i,0+1.75420635799643e-15i,0-8.58170771836054e-15i,0+1.28043671854903e-15i,0+1.44741182194844e-15i,-2e-01+2.3e-14i,0+2.86537005204364e-14i,2e-01-9e-15i,-2e-01+9e-15i,0+1.36442554754876e-14i,4e-01+2.9e-14i,-4e-01+7e-15i,4e-01-2.9e-14i,-2e-01+2.8e-14i,2e-01-2.4e-14i,-4e-01+5e-15i,2e-01-1e-15i,-2e-01-4.2e-14i,-4e-01-9e-15i,2e-01+6e-15i,0+1.17267608754699e-14i,0-1.72445383266164e-15i,0+2.13088133780038e-15i,-2e-01-8e-15i,NA,NA,NA
NA,NA,NA,NA,NA,-0.082172401508871-0.128395408350205i,0.169791273006503-0.082428660999511i,0.084010341005232+0.20068677551661i,-0.213826556514526+0.08357690312327i,-0.074081203151782-0.20923480009383i,0.1975521405118-0.050914064591419i,0.020102531590459+0.192190109161298i,-0.196129658753375-0.005455387749976i,0.01752574958219-0.20619379579444i,0.213018688667738+0.014958610264987i,-0.014021732165462+0.199874368400545i,-0.160842893122806-0.039923432128531i,0.098706839410679-0.104440642124795i,0.044192587332899+0.165473780012675i,-0.18820581123847-0.034406417445568i,0.08044239133238-0.09358247649951i,0.0450720853436729+0.0324308389137711i,-0.0019603311228379+0.0369185630918638i,-0.0292579761704993+0.0078195602760362i,-0.0039405608317739-0.0187961996558698i,0.0116776208020938-0.0035562276086852i,0.0185253427095964+0.0059549869838864i,0.0034499027168795+0.0463322175350389i,-0.0664116825271141+0.0103390090337399i,-0.0048162398119322-0.0713745335631178i,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,-0.088273852846271-0.168793106923406i,0.181862394437739-0.079396390358471i,0.072444061145257+0.193420429973038i,-0.199775309679493+0.064870112679407i,-0.053984365073293-0.200164520291284i,0.197406431217908-0.039058465228792i,0.022403046379253+0.195233940856013i,-0.195031845755123+0.007851028639491i,0.002625543240832-0.194962927487756i,0.19063701430059+0.01156057530013i,-0.026460164538758+0.177403515604912i,-0.154325100380827-0.054962759967818i,0.096908169873707-0.12604508620713i,0.100516899991342+0.141073856313161i,-0.164879136477614+0.093471242779447i,-0.0515735424224103-0.023170715000188i,0.0256827302929002-0.0331722417661663i,0.0398059979496641+0.0272260501062275i,-0.0233976422421955+0.0466340139435263i,-0.0520197861361326-0.0168680641141985i,0.0108112993179555-0.058551390400004i,0.0682562057188546+0.0061637342361008i,-0.0026898028676114+0.0790442322458045i,-0.0856746319890444-0.0017769386938853i,0.0051769848460225-0.0847623929161554i,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,-0.058437354470271-0.198412007700247i,0.190810087021451-0.057726218644656i,0.052615929069615+0.189688857692548i,-0.190539444934422+0.045357441905871i,-0.036745358908612-0.190932501450724i,0.190079820242502-0.027545524689332i,0.018589639640422+0.188015448791631i,-0.184640504868611+0.010282557183832i,-0.001811358280185-0.179252813688516i,0.170818560666471+0.009273548947979i,-0.026225008592505+0.158830195509307i,-0.144223331918977-0.050588194682752i,0.078933570754352-0.129730555643032i,0.119388840544726+0.100680232292292i,-0.09855928752782+0.114309476386422i,-0.10212763669634-0.070970725437507i,0.0509914081663744-0.0879932775815086i,0.085639228867438+0.0396596388728593i,-0.0292142923205446+0.0911347910012458i,-0.0997649703419125-0.0191202679161742i,0.010894083973742-0.108767828438418i,0.116181679479428+0.005504717628589i,-0.003091096488026+0.120073750387251i,-0.118750738158088-0.003540020969322i,0.006600072114666-0.111537844938973i,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,-0.022812680160493-0.195291328185709i,0.185286755046244-0.029104642056707i,0.028665293305717+0.180630993840205i,-0.179630357413837+0.024456518354573i,-0.019058740321354-0.179713753792889i,0.178845178114926-0.014262132087087i,0.010553940245552+0.175812099162678i,-0.169995706647929+0.00713393498335i,-0.00220426587986-0.161254839992455i,0.150010566084159+0.006584211745735i,-0.021282565162065+0.137340274039477i,-0.124838169529073-0.042271583979415i,0.066681738675218-0.11421176166183i,0.106955874764027+0.087749501657969i,-0.097613127412931+0.103909597536946i,-0.104659404022064-0.093634297052904i,0.079939720444601-0.109276597898081i,0.118835928477385+0.061538291803782i,-0.041977989286674+0.132621290263825i,-0.147773314500713-0.024160043014136i,0.010209807517262-0.160836951321794i,0.168798373680305+0.001069381285183i,0.003502869829319+0.169737393788331i,-0.163148104649536+0.004383191650274i,-0.002625923037906-0.149828365323843i,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.003508689169787-0.172666466628618i,0.1646070181005-0.004723144945595i,0.006337171890895+0.162336857249943i,-0.164053747235985+0.003499658658967i,-0.000023328755072-0.166145710086053i,0.16601369615658+0.001238240732581i,-0.000050226404783+0.16226535793794i,-0.154184785191622+0.001878557332874i,-0.001883956306837-0.141864754570899i,0.126455901241709+0.003022526770212i,-0.015460074676958+0.110165480211803i,-0.0959781821506476-0.0367467598937728i,0.0657724876204493-0.0867920810315038i,0.0838873566048016+0.0969969975881253i,-0.119909852673072+0.087507596009994i,-0.098567763045563-0.125976848581826i,0.113948390404469-0.117301172412543i,0.142760075421461+0.08863594437321i,-0.058079501851669+0.171704980431489i,-0.199179760457996-0.028992705890987i,0.005505438833668-0.220616688462817i,0.232016193074431-0.010647613323573i,0.020182403558066+0.231423353324187i,-0.21952212360215+0.024611498577389i,-0.025320130619849-0.198447924044799i,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,0.128798120493993+0.010352680057718i,-0.010429074930601+0.133732835575862i,-0.144156383628527-0.017383421691034i,0.022407217852011-0.151557404476473i,0.153778550303203+0.020313360768035i,-0.012731648842612+0.150192366008267i,-0.139667558147711-0.003395463713348i,-0.003597642398992-0.122055928199138i,0.099034603994064-0.0037859255262198i,-0.0071458592118166+0.0740458075768084i,-0.0525518910320809-0.0318651595199664i,0.0714581905323367-0.0427428613149323i,0.047548628843987+0.12507756007992i,-0.171322719389442+0.058597121928221i,-0.079821028843531-0.187629844799695i,0.171679604476229-0.114221393894494i,0.162238868222388+0.130093050314158i,-0.080804344510943+0.215641191832757i,-0.262519692711045-0.033152822639035i,-0.006384539695178-0.298876443968933i,0.316177125241645-0.033076995800228i,0.050499504340539+0.312209931906136i,-0.291501736422365+0.061056909843361i,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,0.066000880373493+0.0121162599728341i,-0.0179192250805745+0.0904307420960411i,-0.124179505061375-0.048790219192898i,0.059616971412315-0.13692469914264i,0.143401383893998+0.048807527896079i,-0.029087682277264+0.142728555138538i,-0.130137674931443-0.007389078705576i,-0.011152512540813-0.103968518989672i,0.0667216644914728-0.0198003974561638i,0.0091980667152231+0.0228716661554357i,0.0240915471119931-0.0265055846647978i,0.0777506039463929+0.0591702047082433i,-0.017750808788231+0.181863937672288i,-0.288952815309012-0.008526792794481i,-0.035978523463919-0.315584298384298i,0.298515019294383-0.094361346296212i,0.18614910171018+0.206222458212806i,-0.134640198102608+0.291955290755764i,-0.35125745584872-0.051872568524103i,-0.024380481460761-0.427031392560125i,0.443866068031486-0.061982029708754i,0.094599224042294+0.423252385215116i,-0.384537753504259+0.118485274543681i,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,-0.0695741255026584+0.0253082763938024i,-0.085194769703899-0.11565202900241i,-0.064302952778819-0.171894172734595i,0.136558907865762-0.099039162211766i,0.12904284337201+0.094659472838102i,-0.051192740632018+0.145764553047164i,-0.135639092732604-0.009595957691586i,-0.0294066175181484-0.09428306689882i,0.028451218567184-0.0597317825586811i,0.0588918303305127-0.0469427862022837i,0.134560196129656-0.039358430928033i,0.186592717606712+0.291505849308616i,-0.345346516127839+0.35713783076179i,-0.467877915066292-0.252508797076896i,0.021429611042812-0.573478509943547i,0.577766594366687-0.112356928940277i,0.4106697280921+0.49257029263722i,-0.352636490240997+0.500793504470593i,-0.581364258732032-0.269959366331013i,0.078042072501451-0.656689123978088i,0.615682541411308-0.053929318115283i,0.143029389901292+0.559057635864619i,-0.493138237036455+0.204674465343773i,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,-0.195270028239707+0.067251890257614i,-0.174168496180353-0.15863909028082i,0.078411012627707-0.243827516813084i,0.234796803770998-0.010821150020703i,0.10855470816329+0.145664799542842i,-0.073191210358179+0.193198459513017i,-0.19803746884557-0.013687772074847i,-0.051592833023252-0.12383759039038i,-0.015799037784634-0.12978646616477i,0.176092955764292-0.186724360941016i,0.384864834281091+0.06216241692382i,0.170947870926633+0.563321980937651i,-0.554735798110985+0.407156189113557i,-0.673256670929717-0.455187720902671i,0.22358789918804-0.873958586393602i,0.910936886491608-0.115763947857574i,0.417143263844602+0.774803107214791i,-0.575148066043665+0.602349336976506i,-0.709516529488047-0.36673848266638i,0.15504867221227-0.752594919225813i,0.732025424656016-0.041037959000198i,0.204109704910504+0.665164896571657i,-0.570336080916837+0.330740085202499i,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,-0.210202414515045-0.296763261885806i,0.175048882778942-0.316716344343943i,0.379803368994612-0.008190098127261i,0.251670912433714+0.312858304003812i,-0.150871284259357+0.381157484659427i,-0.426230528541313-0.004864628733407i,-0.224426517596556-0.387776211301035i,0.134531658239684-0.346192314851225i,0.364067870696375-0.054164503904282i,0.473423433426299+0.399775916986684i,-0.12562519551467+0.726785727643177i,-0.769508715240176+0.193228513086828i,-0.572700947883151-0.721627930503294i,0.403050063871076-0.867220423505635i,0.944138773792155+0.029142909832901i,0.313907048498486+0.865186647619368i,-0.679310852220941+0.575764888226726i,-0.738777034905882-0.437940206388881i,0.180421273821008-0.805833724651188i,0.788497932858425-0.066285183371708i,0.284450076058327+0.701739447590634i,NA,NA,NA,NA,NA,NA,NA
